smiles,baseline_prediction,head_impact,tail_impact,both_impact,head_importance,tail_importance,zero_head_impact,zero_tail_impact,actual_logCMC,baseline_error
CCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,1.9336349,-0.9966492,-0.5669482,-1.3225589,0.9966492,0.5669482,-0.9966492,-0.5669482,1.762678564,0.17095631320489502
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-0.3305676,-0.08056003,0.11360739,-0.3767647,0.08056003,0.11360739,-0.6090872,0.11360739,-0.48148606,0.15091846165710449
CCCCCCCCCCCC[n+]1ccccc1.[Br-],1.1161734,0.015500665,0.032867193,-0.2439112,0.015500665,0.032867193,0.015500665,-0.20333672,1.056904851,0.059268535573791414
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,-1.489031,0.25249767,0.634648,0.6938812,0.25249767,0.634648,0.25249767,0.634648,-1.494850022,0.005819064778015193
CC(C)CCCC(C)CCCC(C)CCOC1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-1.7308865,-0.015826344,1.6998175,2.023673,0.015826344,1.6998175,0.7016183,1.6998175,-1.473660723,-0.2572257363505859
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-0.5213295,-0.11531502,0.096886575,-0.32728785,0.11531502,0.096886575,-0.67393017,0.096886575,-0.552841969,0.03151244686712651
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,-1.1160678,-0.59672666,1.744328,0.8283527,0.59672666,1.744328,-1.9385184,1.744328,-0.962573502,-0.1534942651432495
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],1.0005218,-0.062766135,0.23222423,-0.03139329,0.062766135,0.23222423,-0.5081363,0.23222423,1.201397124,-0.20087534493963632
CCCCCCCCCCSCC(O)C(O)C(O)CO,-0.633491,-0.16946507,0.57355165,0.3795312,0.16946507,0.57355165,-0.51512784,0.57355165,-0.397940009,-0.2355509706714783
CC(C)CCCC(C)CCCC(C)CCOC1OC[C@@H](O)[C@H](O)[C@@H]1O,-1.8019215,-0.059987664,1.7457839,1.8708754,0.059987664,1.7457839,0.14673531,1.7457839,-1.517126416,-0.28479507085455324
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,-0.69592255,-0.07709265,0.013292134,-0.228603,0.07709265,0.013292134,-0.31053525,0.013292134,-0.823908741,0.12798618746072388
CCCCCSCC(O)C(O)C(O)CO,1.8097839,-0.2169255,-0.3810475,-1.1141758,0.2169255,0.3810475,-1.0547377,-0.3810475,1.662757832,0.14702610354687495
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],1.1756853,-0.018253565,0.19431055,0.20379269,0.018253565,0.19431055,-0.06713593,0.4963175,0.968482949,0.20720233752191164
CCCCCCCCCCSC1OC(=O)C(O)C1O,-0.91121846,-0.39035624,0.16314918,0.11998278,0.39035624,0.16314918,-0.39035624,0.34687507,-1.48148606,0.5702675956254577
CCCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,0.6434974,-0.4335829,-0.3602803,-0.5683444,0.4335829,0.3602803,-0.4335829,-0.3602803,0.255272505,0.38822490243637087
CCCCCCCCCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,0.7219066,-0.2755623,0.24359822,0.07390678,0.2755623,0.24359822,-0.80591476,0.037877858,0.812913357,-0.09100675461734009
